雙和聯盟19季,2022/08/21,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
無限工程,7,1,0,1,0,,,,,,,,,,,,,,,
Super8,0,0,2,0,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,6,7,,2,0,2,2,8,4,,L,,,,,,,,
曾翔,71,9,4,,2,0,1,1,1,1,1;0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,蕭清元,4,6,1;0,,,,,BB,,,,,,,,,,,
1,何世馨,6,7,2;0,,,,,,,FO,,GO,,,,,,,
2,陳昱仁,58,7;6,3;0,,1;0,1,,K,,2B,,BB,,,,,,,
3,洪暘昕,18,9,1;0,,,1,,BB,,BB,,K,,,,,,,
4,林凌,00,5,3;1,,,,1,GO,,2B,,K,,,,,,,
5,鄭凱駿,2,2,,,,,,HBP,,,,,,,,,,,
5,葉昀羲,16,2,,,,,1,,,GO,,BB,,,,,,,
6,曾翔,71,DH;1,,,,,,GO,,K,,GO,,,,,,,
7,張紘睿,5,4,2;2,,,,,,GO,,,,,,,,,,
7,楊皓為,68,4,,,,,,,,,H,,,,,,,,
8,蘇柏恩,23,3,2;0,,,,,,K,,GO,,,,,,,,
9,郭東昇,27,8,1;1,,,,,,FO,,,,,,,,,,
9,邱冠融,73,8,,,,,,,,,FO,,,,,,,,
