雙和聯盟19季,2023/01/08,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,0,1,0,2,0,,,,,,,,,,,,,,
派大星,1,0,2,0,0,0,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
方元廷,28,12,3,0,1,0,5,0,3,0,2;0,W,,,,,,,,
曾翔,71,6,0,0,2,0,4,0,0,0,1;0,SV,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,6,3;0,,,2,,BB,,H,,H,BB,,,,,,
2,何世馨,66,9,,,,2,,GO,,FC,,E,BB,,,,,,
3,陳昱仁,58,8,3;1,,,,1,SF,,H,,BB,FO,,,,,,
4,林凌,00,2,4;4,1;5;0,,,1,GO,,2B,,K,K,,,,,,
5,方元廷,28,1;3,,,,,,,BB,FO,,E,,,,,,,
6,陳緯,15,5,2;1,,,,,,K,FO,,K,,,,,,,
7,蘇柏恩,23,3,,,,,,,BB,,GO,,,,,,,,
7,曾翔,71,1,,,,,,,,,,FO,,,,,,,
8,張紘睿,5,4,,,,,,,FO,,GO,K,,,,,,,
9,郭東昇,27,7,,,1;0,,,,K,,FO,,,,,,,,
9,劉祐宏,56,7,,,,,,,,,,H,,,,,,,
