友誼賽,2020/7/5,林口,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,3,0,0,0,0,1,,,,,,,,,,,,,,
龍璽,1,0,0,3,0,1,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
槍手,199,,,,,,,,,,,,,,,,,,,
槍手,199,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,苗又元,6,6,1;0,,,,,K,F,,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,,,2;0,1,,BB,FC,,,E,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,林宗毅,52,5,1;0,,,1,,HBP,,K,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,鄭凱駿,2,2,2;0,,1;0,1,,K,,BB,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,蘇柏恩,23,3;DH,2;1,,,,,BB,,F,,,F,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,林秉文,1,9,1;0,,,,1,H,,,G,,,,,,,,
6,洪清心,13,6,1;0,,1;0,1,,,,,,,E,,,,,,
7,王柏鈞,9,7,1;1,,1;0,,,K,,,E,,,,,,,,
7,彭崇軒,199,7,,,,,,,,,,,G,,,,,,
8,邱冠融,73,8,,,,,,K,,,F,,,,,,,,
8,劉彧,12,9,1;1,,1;0,,,,,,,,HBP,,,,,,
9,陳柏誠,11,DH,,,,,,,BB,,G,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,4,1,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
