雙和聯盟16季,2020/12/13,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,5,8,7,0,2,,,,,,,,,,,,,,,
黯黑騎士,0,0,1,1,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉萬嘉,3,10,3,,,,2,1,1,1,1;0,W,,,,,,,,
洪暘昕,18,2,2,,1,1,1,2,1,1,,,,,,,,,,
苗又元,6,3,1,,,1,1,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,5,5;1,,1;0,2,1,2B,H,BB,,,,,,,,,
1,陳緯,15,5,,,,,2,,,,H,K,,,,,,,
2,張紘睿,5,4,,,1;0,2,1,E,BB,BB,,,,,,,,,
2,林宗毅,52,4,1;0,,,2,,,,,BB,H,,,,,,,
3,苗又元,6,6;1,1;0,,1;0,3,3,BB,HBP,SF,SF,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,鄭凱駿,2,2,1;0,,1;0,2,4,H,E,H,H,SF,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,洪暘昕,18,DH;1,,,1;0,1,2,HBP,SF,BB,BB,,,,,,,,
5,方元廷,28,1,2;0,,,,,,,,,H,,,,,,,
6,蘇柏恩,23,3,,,1;0,2,2,H,2B,,,,,,,,,,
6,王柏鈞,9,3,,,,1,1,,,BB,FC,F,,,,,,,
7,郭東昇,27,7,,,1;0,2,,FC,E,,,,,,,,,,
7,劉祐宏,56,7,1;0,,,1,,,,H,G,,,,,,,,
8,蘇昱先,77,9,,,,1,1,H,H,,,,,,,,,,
8,劉彧,12,9,,,,1,1,,,BB,K,,,,,,,,
9,邱冠融,73,8,3;0,,,2,2,SF,H,E,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,22,20,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
