雙和聯盟16季,2021/01/10,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,6,10,1,2,,,,,,,,,,,,,,,
凍未條,4,2,0,2,0,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉萬嘉,3,9,5,,3,2,2,,6,4,1;0,W,,,,,,,,
劉昌翰,65,4,,,1,2,2,2,2,1,,,,,,,,,,
林凌,00,2,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,5,1;1,,,1,2,G,H,G,H,,,,,,,,
1,洪清心,13,5,1;0,,,,1,,,,,G,,,,,,,
2,張紘睿,5,4,1;0,,,2,1,BB,H,H,G,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,苗又元,6,6,5;2,,2;0,1,1,FC,H,H,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,鄭凱駿,2,2,3;1,0;3;1,2;0,2,2,G,F,2B,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,林凌,00,DH;1,,,,2,1,,H,F,2B,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,方元廷,28,3,1;0,,,2,2,,F,H,H,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,林秉文,1,7,,,1;0,4,2,,2B,E,H,E,,,,,,,
7,王柏鈞,9,7,,,,,,,,,,,,,,,,,
8,蘇昱先,77,9,,,,3,1,,H,H,G,E,,,,,,,
8,劉祐宏,56,9,,,,,,,,,,,,,,,,,
9,邱冠融,73,8,,,,2,1,,E,E,H,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,19,14,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
