雙和聯盟17季,2021/04/18,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,0,1,1,(5),,,,,,,,,,,,,,,
FasprHeroes,3,0,1,2,-,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉萬嘉,3,9,2,,6,,1,3,4,4,,L,,,,,,,,
賴怡東,19,3,1,,,,,,2,,1;0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,5;3,3;0,,,2,,F,,H,E,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳緯,15,4,4;2,,,1,1,G,,BB,K,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,苗又元,6,6,4;0,,,1,2,H,,H,BB,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,00,2,,2;5;0,,,1,2B,,H,K,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,蘇柏恩,23,3,1;1,,,,,K,,K,,,,,,,,,
5,洪清心,13,5,1;1,,,,,,,,,H,,,,,,,
5,賴怡東,19,5,,,,1,,,,,,,,,,,,,
6,洪暘昕,18,7,1;0,,,,,,H,K,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,湛京叡,34,9,,,,,,,F,FC,,,,,,,,,
7,林秉文,1,9,,,,1,1,,,,,2B,,,,,,,
8,蘇昱先,77,DH,,,,,,,K,,,,,,,,,,
8,劉彧,12,DH,,,,,,,,,K,,,,,,,,
8,方元廷,28,DH,,,,1,1,,,,,H,,,,,,,
9,郭東昇,27,8,1;1,,,1,,,K,,BB,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,8,6,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
