雙和聯盟17季,2021/10/03,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
LeReve,2,0,2,11,,,,,,,,,,,,,,,,
Super8,0,3,2,0,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,9,5,,5,1,4,2,9,6,3;1,L,,,,,,,,
林凌,00,2,1,,1,2,3,1,6,2,,,,,,,,,,
洪暘昕,18,1,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,5,1;1,,,,1,H,FC,,,,,,,,,,
1,楊皓為,68,6,2;2,,,,,,,,BB,,,,,,,,
2,張紘睿,5,4,2;1,,,,2,BB,H,,DP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,9;1,,,,,,DP,G,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,00,DH;1,,,1;0,1,,G,,H,,,,,,,,,
4,劉祐宏,56,9,,,,,,,,,,,,,,,,,
5,蘇柏恩,23,3,1;1,,,1,,,E,F,,,,,,,,,
5,林宗毅,52,3,,,,,,,,,,,,,,,,,
6,陳緯,15,6;5,1;0,,,2,2,,H,HR,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,林秉文,1,7,1;0,,,1,,,H,H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,葉昀羲,16,2,,3;2;0,,,,,K,FC,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,邱冠融,73,8,2;0,,,,,,K,FC,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,5,5,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
