雙和聯盟17季,2021/11/07,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,4,0,1,1,,,,,,,,,,,,,,,,
這個會炸,0,1,6,0,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
賴怡東,19,7,6,1,,,4,2,7,2,,L,,,,,,,,
方元廷,28,5,,,1,1,3,2,,,1;0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,5;3,,,,1,,3B,F,H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,2;1,,,1,,E,F,H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,方元廷,28,3;1,1;0,,1;0,1,,HBP,H,F,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,00,2,1;1,3;3;0,,1,,BB,K,,F,,,,,,,,
4,葉昀羲,16,2,,,,,,,,,,,,,,,,,
5,陳緯,15,6;5,2;0,,,1,2,H,BB,,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,蘇柏恩,23,DH;3,,,,,,H,G,,,,,,,,,,
6,楊皓為,68,4,,,,,,,,,K,,,,,,,,
7,王柏鈞,9,9,1;1,,1;0,1,,K,,BB,,,,,,,,,
7,洪暘昕,18,7,,,,,1,,,,2B,,,,,,,,
8,郭東昇,27,7,2;2,,,,,K,,K,,,,,,,,,
8,劉祐宏,56,9,,,,,,,,,G,,,,,,,,
9,邱冠融,73,8,1;1,,,,1,BB,,K,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,6,4,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
