雙和聯盟17季,2021/11/21,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
巨匠旅遊,5,2,0,2,0,,,,,,,,,,,,,,,
Super8,0,3,0,1,2,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
林凌,00,11,6,,5,,6,5,9,4,,L,,,,,,,,
方元廷,28,4,,,2,,1,,,,1;0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,5,2;1,,,,1,G,H,,F,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,3;1,,,,,BB,K,,E,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,9;7,,,,,,F,,F,G,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,,,,,,H,,HBP,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,林秉文,1,7;2,1;0,,2;0,1,,,HBP,BB,,2B,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,陳緯,15,6,3;1,,,1,,,F,HBP,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,葉昀羲,16,2,,0;2;0,,1,1,,2B,,,,,,,,,,
7,劉祐宏,56,9,,,,1,,,,F,,E,,,,,,,
8,劉彧,12,DH,,,,,,,BB,,,,,,,,,,
8,林凌,00,3,,,,,,,,,K,E,,,,,,,
9,邱冠融,73,8,2;1,,1;0,2,1,,FC,,2B,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,6,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
