雙和聯盟19季,2023/01/15,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Joba,1,0,0,0,0,0,0,,,,,,,,,,,,,
Super8,0,0,0,0,0,0,0,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,21,0,0,2,0,4,2,1,0,1;0,L,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,6;3,5;2,,,,,GO,,,GO,,,HBP,,,,,
2,何世馨,66,7;8,2;0,,,,,GO,,,K,,,FC,,,,,
3,陳昱仁,58,8;6,5;0,,,,,FO,,,FO,,,BB,,,,,
4,林凌,00,2,1;1,0;1;1,,,,,FO,,,FO,,,,,,,
4,葉昀羲,16,2,,,,,,,,,,,,FO,,,,,
5,鄭凱駿,2,4,4;0,,,,,,GO,,,FO,,,,,,,
5,張紘睿,5,4,,,,,,,,,,,,GO,,,,,
6,洪暘昕,18,9,,,,,,,FO,,,K,,,,,,,
7,曾翔,71,DH,,,,,,,,GO,,,FO,,,,,,
8,蘇柏恩,23,3,3;2,,,,,,,FO,,,H,,,,,,
8,劉祐宏,56,9,,,,,,,,,,,,,,,,,
9,陳緯,15,5,1;0,,,,,,,FO,,,GIDP,,,,,,
