雙和聯盟20季,2023/05/28,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
錢德勒,1,0,0,3,,,,,,,,,,,,,,,,
Super8,3,5,0,3,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,12,6,0,3,1,5,0,4,3,,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,6,2;1,,1;0,1,1,E,H,,,,,,,,,,
1,楊皓為,68,4,,,1;0,1,3,,,K,2B,,,,,,,,
2,張紘睿,5,4;5,2;0,,,1,,G,H,BB,,,,,,,,,
3,方元廷,28,3,2;1,,1;0,2,2,H,H,E,,,,,,,,,
4,林凌,00,2,,0;1;0,1;0,1,1,BB,2B,,,,,,,,,,
4,方威皓,21,2,,0;1;0,,,,,,HBP,,,,,,,,,
5,鄭凱駿,2,5,,,,,1,H,F,,,,,,,,,,
5,曾翔,71,6,,,,1,,,,,H,,,,,,,,
6,何世馨,66,8,2;1,,1;0,1,,F,H,,F,,,,,,,,
7,蘇柏恩,23,DH,,,,,1,H,2B,,,,,,,,,,
7,劉兆珩,8,1,,,,1,,,,,H,,,,,,,,
8,劉祐宏,56,9,2;0,,,,,F,G,,,,,,,,,,
8,劉彧,12,9,,,,,,,,,K,,,,,,,,
9,邱冠融,73,7,,,1;0,2,,E,F,,E,,,,,,,,
