雙和聯盟20季,2023/11/12,中正B,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
海神,0,0,0,3,,,,,,,,,,,,,,,,
Super8,2,0,2,8,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,12,4,0,1,0,7,0,3,2,3;0,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳宥竣,7,3,,,2;0,2,1,H,BB,,BB,H,,,,,,,
2,張紘睿,5,4,,,1;0,2,2,2B,G,,E,E,,,,,,,
3,陳緯,15,5,1;1,,,1,,K,,BB,,,,,,,,,
3,蘇柏恩,23,5,,,1;0,1,,,,,BB,FC,,,,,,,
4,洪暘昕,18,8,,,2;0,2,1,H,,BB,HBP,K,,,,,,,
5,林凌,00,DH,,,,1,1,F,,G,BB,,,,,,,,
6,蕭清元,4,6,2;1,,,,,K,,BB,,,,,,,,,
6,曾翔,71,6,,,,,1,,,,HBP,,,,,,,,
7,楊皓為,68,9,,,,1,1,,F,F,HBP,,,,,,,,
8,葉昀羲,16,2,,0;2;0,,1,3,,F,H,HBP,,,,,,,,
9,周奕節,24,7,1;0,,1;0,1,,,H,K,FC,,,,,,,,
