雙和聯盟20季(冠軍賽),2024/04/14,中正A,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,5,0,0,2,,,,,,,,,,,,,,,,
凍未條,3,5,2,-,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,9,7,,4,2,4,1,10,6,2;0,L,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,何世馨,66,8,1;0,,,,,F,K,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,1;0,,,,,G,G,,,,,,,,,,
2,楊皓為,68,4,,,,1,,,,,H,,,,,,,,
3,洪暘昕,18,7,,,1;0,1,1,BB,K,,H,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,2;2,,,1,,H,,2B,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,林凌,0,DH,,,2;0,1,1,H,,BB,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,鄭凱駿,2,5,,,,1,,BB,,,,,,,,,,,
6,蕭清元,4,5,,,,,1,,,F,BB,,,,,,,,
7,曾翔,71,6,,,,1,,HBP,,K,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,方威皓,21,2,,0;3;0,,,3,2B,,F,,,,,,,,,
8,葉昀羲,16,2,,0;1;0,,,,,,,,,,,,,,,
9,郭東昇,27,9,,,,,,K,,,,,,,,,,,
9,劉祐宏,56,9,,,,1,,,,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,7,6,,,,,,,,,,,,
