新莊聯盟25春季,2025/08/17,新月,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,1,1,0,0,,,,,,,,,,,,,,,
熱血,5,0,0,0,-,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,12,2,,4,,6,1,5,2,1;1,L,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,4;2,,,,,F,F,,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳宥竣,7,5,1;0,,1;0,,,K,2B,,K,,,,,,,,
2,蘇柏恩,23,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,,,1;0,1,1,E,H,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,1;0,,1;0,,1,H,F,,,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,郭茂楠,99,2,,0;3;0,,1,,H,,E,,FC,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,張紘睿,5,4,1;0,,,,,BB,,F,,FC,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,陳昱仁,58,8,,,,,,F,,G,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,林釗弘,11,DH,,,,,1,,F,H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,何世馨,66,9,1;0,,,1,,,H,G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,3,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
