新莊聯盟25春季,2025/11/09,新月,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,0,2,2,,,,,,,,,,,,,,,,
KGB龍魂,0,3,3,-,,,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,"紀錄(W, L, H, S, BS)",,,,,,,,
劉兆珩,8,8,4,,3,1,7,,6,4,1;0,L,,,,,,,,
槍手,199,1,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,,,1;0,1,,H,BB,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳宥竣,7,5;3,1;1,,,,,K,K,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,,,,1,1,K,,2B,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,槍手,199,DH;1,,,,1,1,BB,,2B,FC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,鄭凱駿,2,3;5,,,,,,K,,K,F,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,郭茂楠,99,2,1;1,1;4;0,,,,,H,G,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,張紘睿,5,4,,,,,1,,FC,H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,陳昱仁,58,9,,,,,,,BB,K,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,何世馨,66,8,,,,1,,,FC,,BB,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,4,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
