新莊聯盟25春季,2025/11/16,新月,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
派大星,0,0,1,0,1,1,,,,,,,,,,,,,,
Super8,4,1,0,1,0,-,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
槍手,199,12,4,,4,,2,3,2,2,1;0,W,,,,,,,,
郭茂楠,99,6,1,,1,,1,,1,1,,S,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,槍手,199,8;2,1;0,0;2;0,,2,1,H,H,,G,,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4,2;0,,,,,K,G,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,,,,1,1,H,H,,K,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,槍手,199,6,5;0,,1;0,1,1,H,G,,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,方元廷,28,5,1;0,,,1,,BB,,F,,K,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,鄭凱駿,2,2,,0;1;0,,,,G,,K,,,,,,,,,
,陳宥竣,7,9,,,,,,,,,,K,,,,,,,
7,郭茂楠,99,DH;1,,,,,,E,,K,,,2B,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,槍手,199,9;8,1;0,,,1,,F,,,BB,,K,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,周奕節,24,3,1;0,,,,,,K,,H,,E,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,6,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
