新莊聯盟25春季,2025/11/30,新月,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,0,0,0,0,0,3,,,,,,,,,,,,,,
開璽食品,0,1,1,1,1,-,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
劉兆珩,8,15,6,,,1,5,2,4,2,1;0,L,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,槍手,199,8;2,1;0,0;3;0,,,,G,,G,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,4;6,1;0,,,,,F,,F,,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,1;0,,,1,,BB,,,H,,BB,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,5,2;1,,,,,H,,,FC,,E,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,陳宥竣,7,3;4,1;1,,,1,1,K,,,F,,FC,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,鄭凱駿,2,2,,0;2;0,,,,,G,,,,,,,,,,
,楊皓為,68,9,1;0,,,1,,,,,F,,BB,,,,,,
7,蘇柏恩,23,DH;3,,,,,2,,G,,,G,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,林釗弘,11,6,4;1,,,,,,G,,,HBP,,,,,,,
,劉兆珩,8,1,,,,,,,,,,,F,,,,,,
9,何世馨,66,9;8,1;0,,,,,,,G,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,3,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
