新莊聯盟25春季,2025/12/07,新月,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
天行者,1,0,0,1,3,0,,,,,,,,,,,,,,
Super8,0,0,0,0,3,3,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
槍手,199,18,6,,,1,11,,5,1,,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,槍手,199,1,,,,2,,E,,K,,2B,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,6;5,3;3,,,2,1,F,,K,,BB,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,,,,1,1,H,,K,,H,K,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,方元廷,28,3,2;0,,,,1,K,,,E,2B,HBP,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,槍手,199,9;8,,,,,1,,H,,K,BB,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,槍手,199,2,1;1,1;1;0,,,1,,E,,K,BB,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,鄭凱駿,2,5,2;1,,,,,,K,,K,G,,,,,,,
,曾翔,71,6,2;1,,,,,,,,,,,,,,,,
8,楊皓為,68,4,1;0,,,,,,F,,,K,K,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,周奕節,24,8,1;0,,,,,,K,,,F,,,,,,,
9,陳宥竣,7,9,,,,1,,,,,,,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,6,5,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
