新莊聯盟25春季,2025/12/14,新月,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,1,0,2,1,0,0,,,,,,,,,,,,,,
天兵一號,0,0,1,0,0,0,,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
陳宥竣,7,18,6,,2,1,4,2,1,,,W,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,陳冠宇,9,6,6;0,,2;0,2,,H,,H,,H,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,張紘睿,5,5,2;1,,,1,1,F,,H,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,洪暘昕,18,7,,,,,1,G,,H,,G,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,郭茂楠,99,2,,0;2;0,,,,K,,,G,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
5,蘇柏恩,23,3,1;0,,,1,,,G,,H,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
6,楊皓為,68,4,,,,,,,K,,BB,,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
7,陳宥竣,7,1,3;0,,1;0,,,,F,,FC,,HBP,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,槍手,199,8,2;0,,,,,,,K,K,,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
9,槍手,199,9,,,,,,,,G,,,,,,,,,
,槍手,199,9,1;0,,,,,,,,,F,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,4,2,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
